"REGIÃO
ASSISTENCIAL";MICRORREGIÃO;MUNICIPIO;RAMO_ATIVIDADE;NUM_CONTRATO;CPF_CNPJ;NOME;INICIO_VIGENCIA;FIM_VIGENCIA;PERIODO REFERENCIA
TRIANGULO DO NORTE;ARAGUARI;ARAGUARI;LABORATORIO;52022;16930901000112;LABORATORIO DE ANALISES CLINICAS SAO JOSE LIMITADA;01/01/2022;31/12/2026;jul/26
SUDESTE;MURIAE;MURIAE;HOSPITAL/FUNDACAO;3492025;22790182000184;CASA DE SAUDE SANTA LUCIA S/A;01/06/2025;31/05/2030;jul/26
LESTE;PECANHA;SAO JOAO EVANGELISTA;LABORATORIO;952022;22707848000198;LABORATORIO SANTO ANDRE LTDA;01/02/2022;31/01/2027;jul/26
LESTE;CARATINGA;SAO JOAO DO ORIENTE;LABORATORIO;3212022;21223466000126;LDL ANALISES CLINICAS LTDA;01/07/2022;30/06/2027;jul/26
SUL;VARGINHA;VARGINHA;LABORATORIO;7992023;25656463000137;LABORATORIO ANALISES CLINICAS VIRGINIA LTDA;01/10/2023;30/09/2028;jul/26
NORDESTE;ALMENARA;ALMENARA;LABORATORIO;6712025;21079496000100;ANALISES CLINICAS SAO LUCAS LTDA;08/08/2025;31/07/2030;jul/26
SUL;ALFENAS;MACHADO;HOSPITAL/FUNDACAO;342023;22228571000110;IRMANDADE DA SANTA CASA DE CARIDADE DE MACHADO;10/01/2023;31/12/2027;jul/26
NORDESTE;TURMALINA;TURMALINA;HOSPITAL/FUNDACAO;5052025;16887465000146;CONFERENCIA DE SAO VICENTE DE PAULO DE TURMALINA;01/07/2025;30/06/2030;jul/26
SUDESTE;CARANGOLA;ESPERA FELIZ;LABORATORIO;9212022;21271721000106;LAB DE ANALISES CLINICAS DR MAURICIO EDUARDO P SOARES L;31/12/2022;30/11/2027;jul/26
OESTE;DIVINOPOLIS;DIVINOPOLIS;CLINICA;3662023;20949343000104;CENTRO DE FISIOTERAPIA GERAL LTDA;09/05/2023;30/04/2028;jul/26
TRIANGULO DO NORTE;ARAGUARI;ARAGUARI;LABORATORIO;5432023;16936825000152;LABORATORIO PIO XII LTDA;04/07/2023;30/06/2028;jul/26
NORDESTE;DIAMANTINA;ITAMARANDIBA;HOSPITAL/FUNDACAO;5782024;21153960000161;HOSPITAL DE ITAMARANDIBA;01/07/2024;30/06/2029;jul/26
TRIANGULO DO NORTE;ITUIUTABA;ITUIUTABA;LABORATORIO;602024;19939206000100;LAB ITUIUTABA DE MICROBIOLOGIA E ANALISES CLINICAS LTDA;01/02/2024;30/06/2027;jul/26
CENTRO;PEDRO LEOPOLDO;MATOZINHOS;LABORATORIO;2592022;26243642000105;APOIO DIAGNOSTICO LABORATORIAL MATOZINHOS LTDA;07/04/2022;31/03/2027;jul/26
SUDESTE;JUIZ DE FORA;JUIZ DE FORA;LABORATORIO;1922022;20452470000101;INSTITUTO DE ANALISES CLINICAS CARLOS CHAGAS LTDA;01/03/2022;28/02/2027;jul/26
NOROESTE;PARACATU;PARACATU;LABORATORIO;2222022;18201046000134;LABORATORIO CARLOS CHAGAS PARACATU LTDA;31/03/2022;28/02/2027;jul/26
LESTE;IPATINGA;IPATINGA;HOSPITAL/FUNDACAO;3692025;19878404000100;FUNDACAO SAO FRANCISCO XAVIER;01/06/2025;31/05/2028;jul/26
LESTE;GOVERNADOR VALADARES;GOVERNADOR VALADARES;LABORATORIO;552024;20599536000182;LABORATORIO CARLOS CHAGAS LTDA;01/02/2024;31/05/2027;jul/26
SUL;ITAJUBA;ITAJUBA;LABORATORIO;6322022;01231202000107;LABORATORIO DE ANALISES CLINICAS ANTONIO BACHA LTDA;02/09/2022;31/08/2027;jul/26
TRIANGULO DO NORTE;ARAGUARI;ARAGUARI;LABORATORIO;1732022;17183112000128;IAP - INSTITUTO ARAGUARINO DE PATOLOGIA LTDA;01/03/2022;28/02/2027;jul/26
SUL;SAO LOURENCO;SAO LOURENCO;LABORATORIO;3882022;19094184000124;LABORATORIO DE ANALISES CLINICAS DAFNI FORASTIERI CARDOSO LTDA;01/07/2022;30/06/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;LABORATORIO;11582023;26289009000158;LABORATORIO EXAME LTDA;20/12/2023;30/11/2028;jul/26
CENTRO;BELO HORIZONTE;NOVA LIMA;HOSPITAL/FUNDACAO;982023;20294088000109;BIOCOR HOSPITAL DE DOENCAS CARDIOVASCULARES S.A.;01/02/2023;31/01/2028;jul/26
LESTE DO SUL;VICOSA;VICOSA;HOSPITAL/FUNDACAO;11162024;25945403000134;CASA DE CARIDADE DE VICOSA HOSPITAL SAO SEBASTIAO;26/12/2024;30/11/2029;jul/26
SUDESTE;UBA;VISCONDE DO RIO BRANCO;LABORATORIO;3942022;20354106000109;LABORATORIO ANACLIN LTDA;01/07/2022;30/06/2027;jul/26
SUDESTE;UBA;UBA;LABORATORIO;5482025;20353538000197;BEKER - LABORATORIO DE ANALISES CLINICAS LTDA;01/08/2025;31/07/2030;jul/26
TRIANGULO DO SUL;UBERABA;SACRAMENTO;HOSPITAL/FUNDACAO;2602022;24334112000147;SANTA CASA DE MISERICORDIA DE SACRAMENTO;08/04/2022;31/03/2027;jul/26
NORTE;SALINAS;SALINAS;HOSPITAL/FUNDACAO;9502025;25124504000144;POLICLINICA SALINENSE LTDA;01/10/2025;30/09/2030;jul/26
SUDESTE;UBA;RIO POMBA;HOSPITAL/FUNDACAO;642024;24258337000161;HOSPITAL SAO VICENTE DE PAULO;01/02/2024;31/07/2027;jul/26
CENTRO;BELO HORIZONTE;RIBEIRAO DAS NEVES;HOSPITAL DIA;3612022;21736491000103;HOSPITAL BOAS NOVAS LTDA;01/07/2022;30/06/2027;jul/26
LESTE DO SUL;RAUL SOARES;RAUL SOARES;HOSPITAL/FUNDACAO;5382025;24090409000104;HOSPITAL SAO SEBASTIAO DE RAUL SOARES;01/07/2025;30/06/2030;jul/26
SUL;POCOS DE CALDAS;POCOS DE CALDAS;LABORATORIO;392022;17416769000198;LABORATORIO DE ANALISES CLINICAS SAO GERALDO LTDA;13/01/2022;31/12/2026;jul/26
OESTE;PARA DE MINAS;PARA DE MINAS;LABORATORIO;6362023;20947727000198;LABORFAMA-ANALISES CLINICAS LTDA;03/08/2023;31/07/2028;jul/26
SUDESTE;MURIAE;MURIAE;CLINICA;6262023;20344636000168;CLINICA RADIOLOGICA SANTA LUCIA LTDA;01/08/2023;31/07/2028;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;LABORATORIO;7442024;21353602000100;LABORATORIO VOUMARD LTDA - EPP;01/09/2024;28/02/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;LABORATORIO;7282023;21365424000120;LABORATORIO DE ANALISES CLINICAS NORMANHA LTDA;01/09/2023;31/08/2028;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;CLINICA;4622023;21628623000183;CLINICA MOVIMENTAR LTDA;13/06/2023;31/05/2028;jul/26
SUDESTE;MURIAE;MIRAI;HOSPITAL/FUNDACAO;11372024;22532311000134;CASA DE CARIDADE SAO VICENTE DE PAULO;31/12/2024;30/11/2029;jul/26
SUDESTE;JUIZ DE FORA;MAR DE ESPANHA;HOSPITAL/FUNDACAO;5272022;22351316000160;SOC CARIDADE DE MAR DE ESPANHA STA CASA MISERICORDIA;01/08/2022;31/07/2027;jul/26
