"REGIÃO
ASSISTENCIAL";MICRORREGIÃO;MUNICIPIO;RAMO_ATIVIDADE;NUM_CONTRATO;CPF_CNPJ;NOME;INICIO_VIGENCIA;FIM_VIGENCIA;PERIODO REFERENCIA
SUDESTE;MURIAE;ERVALIA;LABORATORIO;2112022;26141531000198;LABORATORIO DE ANALISES CLINICAS CENTRO LAB DE ERVALIA LTDA;01/04/2022;31/03/2027;jul/26
SUDESTE;CARANGOLA;DIVINO;LABORATORIO;5962022;07261844000135;UNILABOR - LABORATORIO DE ANALISES CLINICAS LTDA;01/09/2022;31/08/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;LABORATORIO;4682023;05324708000111;LABORATORIO MEDICO DE PATOLOGIA CIRURGICA E CITOPATOLOGIA LTDA;01/07/2023;30/06/2028;jul/26
LESTE;CARATINGA;CARATINGA;LABORATORIO;2512022;21448584000132;LABORATORIO DE ANALISES CLINICAS DIVINO ESPIRITO SANTO LTDA;05/04/2022;31/03/2027;jul/26
NORDESTE;TEOFILO OTONI;TEOFILO OTONI;LABORATORIO;3932022;06060224000175;LABORATORIO DE ANALISES CLINICAS PROMED LTDA;01/07/2022;30/06/2027;jul/26
SUL;PASSOS;ALPINOPOLIS;HOSPITAL/FUNDACAO;6512024;16698771000134;IRMANDADE DA SANTA CASA DE MISERICORDIA DE ALPINOPOLIS;01/08/2024;31/07/2029;jul/26
NORDESTE;TEOFILO OTONI;MALACACHETA;LABORATORIO;5792025;06135457000190;MEDLAB LABORATORIO E CLINICA MEDICA LTDA;01/08/2025;31/07/2030;jul/26
SUDESTE;MURIAE;EUGENOPOLIS;CLINICA;4422023;07282340000100;CENTRO DE FISIOTERAPIA DE EUGENOPOLIS LTDA;02/06/2023;31/05/2028;jul/26
SUDESTE;SANTOS DUMONT;SANTOS DUMONT;CLINICA;2912024;05254536000157;MED IMAGEM ULTRASSOM LTDA;01/04/2024;30/09/2026;jul/26
LESTE;GOVERNADOR VALADARES;GOVERNADOR VALADARES;CLINICA;9022022;07212917000107;UNIDADE DE RESSONANCIA MAGNETICA LTDA;06/12/2022;30/11/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;CLINICA;7532023;05525626000135;IMED - IMAGENS MEDICAS LTDA;01/09/2023;31/08/2028;jul/26
SUDESTE;CATAGUASES;LEOPOLDINA;CLINICA;4722024;04166040000169;VITOI & RONZANI SERVICOS RADIOLOGICOS LTDA;05/06/2024;30/11/2026;jul/26
LESTE DO SUL;RAUL SOARES;SAO PEDRO DOS FERROS;LABORATORIO;4772024;04362704000165;PERIANALISE - LABORATORIO DE ANALISES CLINICAS LTDA;06/06/2024;30/11/2026;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;9782024;05754881000150;AUDIOVOX SERVICOS FONOAUDIOLOGICOS LTDA;05/11/2024;30/04/2027;jul/26
CENTRO;BETIM;BETIM;LABORATORIO;1282022;01999095000161;CITO DIAGNOSTICO SERVICOS LTDA;04/02/2022;31/01/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;CLINICA;8812025;05899991000100;RESSONAR IMAGENS MEDICAS LTDA;01/09/2025;31/08/2030;jul/26
SUDESTE;JUIZ DE FORA;JUIZ DE FORA;CLINICA;2852023;04142805000120;PONCINELLI SERVICOS DE DIAGNOSTICO POR IMAGEM LTDA;12/04/2023;31/03/2028;jul/26
LESTE;CORONEL FABRICIANO;CORONEL FABRICIANO;CLINICA;4982025;07551919000112;CENTRO DE FISIOTERAPIA VALE DO ACO LTDA;01/07/2025;30/06/2030;jul/26
SUL;TRES PONTAS;TRES PONTAS;LABORATORIO;5892023;03910241000166;LABORATORIO ALESSANDRA VILELA PINTO DE ANALISES CLINICAS LTDA;01/08/2023;31/07/2028;jul/26
OESTE;DIVINOPOLIS;NOVA SERRANA;LABORATORIO;5912022;86951456000152;LABORATORIO NOVA SERRANA LTDA;01/09/2022;31/08/2027;jul/26
NORDESTE;TEOFILO OTONI;TEOFILO OTONI;CLINICA;10682023;06047414000152;BEM ESTAR SERVICOS EM SAUDE LTDA;04/12/2023;30/11/2028;jul/26
CENTRO;BETIM;MATEUS LEME;LABORATORIO;5532023;05023888000100;LABORATORIO ANDREIA BRAZ - ANALISES CLINICAS, VACINACAO E IMUNIZACAO HUMANA LTDA;07/07/2023;30/06/2028;jul/26
TRIANGULO DO NORTE;ARAGUARI;ARAGUARI;CLINICA;1792023;05646809000109;CLINICA DE FISIOTERAPIA NOSSA SENHORA APARECIDA LTDA;04/03/2023;29/02/2028;jul/26
NORDESTE;SERRO;SERRO;CLINICA;3162022;05586578000195;REABILITAR CLINICA DE FISIOTERAPIA LTDA;04/06/2022;31/05/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;HOSPITAL/FUNDACAO;4522023;22254585000109;HCE - ASSISTENCIA MEDICA LTDA;06/06/2023;31/05/2028;jul/26
CENTRO;BETIM;IGARAPE;CLINICA;7802023;05505124000142;CENTRO TERAPEUTICO MASTER FISIO LTDA.;13/09/2023;31/08/2028;jul/26
TRIANGULO DO NORTE;ARAGUARI;ARAGUARI;HOSPITAL/FUNDACAO;5642025;16826067000110;SANTA CASA DE MISERICORDIA DE ARAGUARI;01/08/2025;31/07/2030;jul/26
SUL;ALFENAS;GUAPE;CLINICA;10872023;07304952000148;CONSULTORIO DE FISIOTERAPIA GUAPE LTDA;06/12/2023;30/11/2028;jul/26
TRIANGULO DO NORTE;MONTE CARMELO;MONTE CARMELO;HOSPITAL/FUNDACAO;6222022;22605232000106;HOSPITAL SANTA TEREZINHA LTDA;01/09/2022;31/08/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;HOSPITAL/FUNDACAO;3572025;00991591000106;FUNDACAO DE SAUDE DILSON DE QUADROS GODINHO;01/06/2025;31/05/2030;jul/26
SUL;POCOS DE CALDAS;BOTELHOS;LABORATORIO;462022;01788734000140;BORGES & CRISPIM LTDA;01/02/2022;31/01/2027;jul/26
SUDESTE;MURIAE;MURIAE;HOSPITAL/FUNDACAO;2782023;00961315000103;FUNDACAO CRISTIANO VARELLA;11/04/2023;31/03/2028;jul/26
SUL;POUSO ALEGRE;POUSO ALEGRE;CLINICA;6692023;04851699000154;SERVICO DE DIAGNOSTICO POR IMAGEM SANTA PAULA LTDA;01/09/2023;31/08/2028;jul/26
TRIANGULO DO SUL;ARAXA;ARAXA;LABORATORIO;11422023;01048429000111;EURIPEDES MARCELO BORGES & CIA LTDA;18/12/2023;30/11/2028;jul/26
NORDESTE;JEQUITINHONHA;ITAOBIM;LABORATORIO;1972023;06127670000150;BIO ANALISES LABORATORIO DE ANALISES CLINICAS LTDA;01/04/2023;31/03/2028;jul/26
LESTE;CORONEL FABRICIANO;TIMOTEO;CLINICA;7942022;26203356000116;MEYER E ULHOA LTDA;01/11/2022;31/10/2027;jul/26
TRIANGULO DO NORTE;UBERLANDIA;UBERLANDIA;CLINICA;7502023;86554607000139;INSTITUTO DE MEDICINA DO CORACAO LTDA;01/09/2023;31/08/2028;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;5912025;02697663000132;A AUDIOGRAF LTDA;01/08/2025;31/07/2030;jul/26
SUDESTE;SANTOS DUMONT;SANTOS DUMONT;LABORATORIO;2082022;03553522000109;LEF LABORATORIO DE ANALISES CLINICAS LTDA;01/04/2022;31/03/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;LABORATORIO;1652024;07590281000129;RODNEY FROES ALMEIDA;27/02/2024;31/05/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;LABORATORIO;4262023;21358528000107;INSTITUTO DE PATOLOGIA DO NORTE DE MINAS LTDA;01/06/2023;31/05/2028;jul/26
CENTRO;CONTAGEM;CONTAGEM;CLINICA;3612024;05544944000143;NUCLEO DE TRATAMENTO UROLOGICO UROLASER LTDA;01/05/2024;31/10/2026;jul/26
CENTRO;CONTAGEM;CONTAGEM;CLINICA;8272023;08266968000176;CLINICA MEDICA VMA LTDA;20/09/2023;31/08/2028;jul/26
SUL;POUSO ALEGRE;POUSO ALEGRE;CLINICA;7732022;01509731000120;INSTITUTO SUL MINEIRO DE RESSONANCIA MAGNETICA LTDA;10/10/2022;30/09/2027;jul/26
CENTRO;SETE LAGOAS;SETE LAGOAS;CLINICA;9092023;01897935000185;CLIFESP CLINICA DE FISIOTERAPIA ESPECIALIZADA LTDA;01/10/2023;30/09/2028;jul/26
SUDESTE;JUIZ DE FORA;JUIZ DE FORA;CLINICA;7822024;07469203000170;CENTRO DE DIAGNOSTICO MEDICO JUIZ DE FORA LTDA;17/09/2024;28/02/2027;jul/26
OESTE;ITAUNA;ITAGUARA;LABORATORIO;942022;07920674000153;LABORATORIO HEBERT LIMA VILELA LTDA;01/02/2022;31/01/2027;jul/26
TRIANGULO DO NORTE;UBERLANDIA;UBERLANDIA;CLINICA;52024;06316792000194;CHECK - UP MEDICINA LABORATORIAL LTDA;01/01/2024;31/12/2028;jul/26
SUDESTE;JUIZ DE FORA;JUIZ DE FORA;CLINICA;9662024;00401027000196;NUCLEMINAS MEDICINA NUCLEAR LTDA;01/11/2024;30/04/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;182023;38727038000303;CENTRO DIAGNOSTICO ULTRASON DE MEDICINA INTERNA GINECOLOGIA E OBSTETRICIA LTDA;01/01/2023;31/12/2027;jul/26
SUDESTE;UBA;UBA;CLINICA;6552025;26136838000109;ULTRIMAGEM LTDA;01/08/2025;31/07/2030;jul/26
SUL;POUSO ALEGRE;POUSO ALEGRE;CLINICA;7722022;07833214000198;MN & D MAGSUL MEDICINA NUCLEAR LTDA;10/10/2022;30/09/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;6932023;04491862000204;AMPLIAR RADSOM MEDICINA LTDA;01/09/2023;31/08/2028;jul/26
TRIANGULO DO NORTE;UBERLANDIA;UBERLANDIA;HOSPITAL/FUNDACAO;7082024;25761040000187;HOSPITAL E MATERNIDADE SANTA CLARA S/A;13/08/2024;30/11/2027;jul/26
CENTRO;CONTAGEM;CONTAGEM;HOSPITAL DIA;10472023;08408723000136;IMOC INSTITUTO MINEIRO DE OLHOS CONTAGEM LTDA;01/12/2023;30/11/2028;jul/26
TRIANGULO DO NORTE;UBERLANDIA;UBERLANDIA;HOSPITAL DIA;1952022;86452695000168;PATRUS HOSPITAL OFTALMOLOGICO LTDA;01/03/2022;28/02/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;HOSPITAL DIA;4992025;21946306000105;HOSPITAL DE OLHOS RUI MARINHO LTDA;01/07/2025;30/06/2030;jul/26
CENTRO;PEDRO LEOPOLDO;PEDRO LEOPOLDO;CLINICA;4142023;02566935000165;CENTRO DE ESTUDO DE IMAGEM LTDA - CEI;01/06/2023;31/05/2028;jul/26
NORTE;TAIOBEIRAS;RIO PARDO DE MINAS;LABORATORIO;6342022;04907873000133;LABORATORIO BARBOSA SILVA LTDA;05/09/2022;31/08/2027;jul/26
SUL;TRES CORACOES;TRES CORACOES;LABORATORIO;3002022;07690038000182;LABORATORIO DE ANALISES CLINICAS E ANATOMO PATOLOGIA TRICORDIANO LTDA;01/06/2022;31/05/2027;jul/26
CENTRO;GUANHAES;GUANHAES;CLINICA;722023;01383143000192;CLINICA J. RODRIGUES & IVONILDE LTDA;01/02/2023;31/01/2028;jul/26
LESTE;GOVERNADOR VALADARES;GOVERNADOR VALADARES;CLINICA;7152023;02243845000133;OTHORRINUS SERVICOS MEDICOS LTDA;01/09/2023;31/08/2028;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;2026182;16594517000196;INSTITUTO DE RADIOTERAPIA GERAL E MEGAVOLTAGEM MG LTDA;01/04/2026;31/03/2031;jul/26
LESTE;GOVERNADOR VALADARES;GOVERNADOR VALADARES;HOSPITAL/FUNDACAO;5302022;22709109000216;BENEFICENCIA SOCIAL BOM SAMARITANO;01/08/2022;31/07/2027;jul/26
SUL;PASSOS;PASSOS;CLINICA;6232025;04630230000195;OFTALMOCLINICA PASSOS LTDA;01/08/2025;31/07/2030;jul/26
SUL;POUSO ALEGRE;SANTA RITA DO SAPUCAI;LABORATORIO;1672023;07625745000195;LABORATORIO DE ANALISES CLINICAS MIRANDA REIS LTDA;02/03/2023;29/02/2028;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;2632023;08593694000120;OLHAR - INSTITUTO DE OFTALMOLOGIA E PLASTICA OCULAR LTDA;01/04/2023;31/03/2028;jul/26
LESTE;GOVERNADOR VALADARES;GOVERNADOR VALADARES;CLINICA;9702025;00950189000183;CEDOV LTDA;01/10/2025;30/09/2030;jul/26
TRIANGULO DO NORTE;UBERLANDIA;UBERLANDIA;CLINICA;3572022;02732168000117;COT CENTRO ONCOLOGICO DO TRIANGULO S.A.;01/07/2022;31/08/2026;jul/26
TRIANGULO DO NORTE;PATROCINIO;PATROCINIO;LABORATORIO;2072022;07162338000199;LABORATORIO FERREIRA & NUNES LTDA;14/03/2022;28/02/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;CLINICA;6342025;07727247000153;CARDIUS CLINICA DO CORACAO LTDA;01/08/2025;31/07/2030;jul/26
SUDESTE;CARANGOLA;CARANGOLA;HOSPITAL/FUNDACAO;6222023;19275338000184;HOSPITAL EVANGELICO DE CARANGOLA;01/08/2023;31/07/2028;jul/26
LESTE DO SUL;MANHUACU;MUTUM;LABORATORIO;3862022;07919279000150;LABORATORIO HANNAS & COSTA LTDA;01/07/2022;30/06/2027;jul/26
SUL;PASSOS;CARMO DO RIO CLARO;LABORATORIO;1932022;07419943000100;DALILA LABORATORIO DE ANALISES CLINICAS LTDA;01/03/2022;28/02/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;732024;06952325000150;VISIONE SERVICOS MEDICOS LTDA;02/02/2024;30/06/2028;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;LABORATORIO;8762022;21007273000138;INSTITUTO MOACYR JUNQUEIRA ANATOMIA PATOLOGICA E CITOPATOLOGIA LTDA;01/12/2022;30/11/2027;jul/26
TRIANGULO DO NORTE;UBERLANDIA;UBERLANDIA;CLINICA;6292023;03615350000150;VISION CENTER - CENTRO ESPECIALIZADO EM DOENCAS OCULARES E CIRURGIA LTDA;01/08/2023;31/07/2028;jul/26
SUDESTE;JUIZ DE FORA;JUIZ DE FORA;CLINICA;7972023;04519423000173;CARDIOIMAGEM CLINICA MEDICA LTDA;13/09/2023;31/08/2028;jul/26
CENTRO;CONTAGEM;ESMERALDAS;CLINICA;7142021;38536439000106;NEFES NUCLEO ESPECIALIZADO EM FISIOTERAPIA DE ESMERALDAS LIMITADA;31/12/2021;30/11/2026;jul/26
NORDESTE;DIAMANTINA;ITAMARANDIBA;LABORATORIO;8882022;07304107000172;HELTON DA SILVA GONCALVES;01/12/2022;30/11/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;CLINICA;7622023;07559762000171;CENTRO DE IMAGENS MEDICAS MONTES CLAROS LTDA;05/09/2023;31/08/2028;jul/26
SUL;ITAJUBA;MARIA DA FE;LABORATORIO;3922022;25637257000180;LABORATORIO DE ANALISES CLINICAS MARIENSE LTDA;01/07/2022;30/06/2027;jul/26
SUDESTE;MURIAE;MURIAE;CLINICA;9392022;07263660000104;L L A SERVICOS FISIOTERAPICOS LTDA;31/12/2022;30/11/2027;jul/26
OESTE;PARA DE MINAS;PARA DE MINAS;LABORATORIO;6312022;07623024000146;RICHARD E XAVIER CITOPATOLOGIA E ANATOMIA PATOLOGICA LTDA;02/09/2022;31/08/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;HOSPITAL DIA;7662025;04202712000144;SERVCOR LTDA;01/09/2025;31/08/2030;jul/26
SUDESTE;JUIZ DE FORA;JUIZ DE FORA;LABORATORIO;8332025;20436952000160;LABORATORIO DE ANALISES CLINICAS ATHOS LTDA;01/09/2025;31/08/2030;jul/26
LESTE;CARATINGA;CARATINGA;LABORATORIO;7832022;05635160000120;BIOEXAME - LABORATORIO DE ANALISES CLINICAS LTDA;01/11/2022;31/10/2027;jul/26
CENTRO;ITABIRA;ITABIRA;CLINICA;6952023;07797435000158;CLINICA DE RADIOLOGIA MEDICA LTDA;01/09/2023;31/08/2028;jul/26
NORDESTE;CAPELINHA;CAPELINHA;LABORATORIO;2502022;08545753000194;LABORATORIO DE ANALISES CLINICAS NOSSA SENHORA DA GRACA LTDA;04/04/2022;31/03/2027;jul/26
NORTE;SALINAS;SALINAS;CLINICA;7662022;06280539000128;CENTRO CARDIOLOGICO DE SALINAS LTDA;05/10/2022;30/09/2027;jul/26
NOROESTE;UNAI;UNAI;CLINICA;2322024;08831796000136;CENTRO DE EXAMES OFTALMOLOGICOS DE UNAI LTDA;12/03/2024;31/08/2026;jul/26
LESTE DO SUL;MANHUACU;MUTUM;LABORATORIO;2342022;07894489000131;SATHLER E CRUZ LABORATORIO DE ANALISES CLINICAS LTDA;01/04/2022;31/03/2027;jul/26
TRIANGULO DO NORTE;PATROCINIO;COROMANDEL;LABORATORIO;2062022;22224570000106;MARA OVIEDO;14/03/2022;28/02/2027;jul/26
SUDESTE;CATAGUASES;ALEM PARAIBA;CLINICA;6132023;02021497000150;CRER CENTRO DE REABILITACAO FISICA ALEM PARAIBA LTDA;01/08/2023;31/07/2028;jul/26
TRIANGULO DO NORTE;ITUIUTABA;ITUIUTABA;CLINICA;10152024;19952027000102;CEDIMAGEM - CENTRO DE DIAGNOSTICO POR IMAGEM LTDA;01/12/2024;31/05/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;522024;05070451000119;CLIVER S/S;01/02/2024;30/06/2028;jul/26
TRIANGULO DO NORTE;PATROCINIO;PATROCINIO;HOSPITAL/FUNDACAO;5372024;42938662000157;HOSPITAL MED CENTER LTDA;01/07/2024;30/06/2029;jul/26
CENTRO;PEDRO LEOPOLDO;LAGOA SANTA;CLINICA;2712024;06070385000140;CORPORAL CLINICA DE FISIOTERAPIA LTDA;01/04/2024;30/09/2026;jul/26
OESTE;BOM DESPACHO;LUZ;LABORATORIO;1272022;08147851000173;LABORATORIO VITA LABORI LTDA;04/02/2022;31/01/2027;jul/26
CENTRO SUL;BARBACENA;BARBACENA;LABORATORIO;7772022;05575534000160;LABORATORIO SANTA CLARA DE BARBACENA LTDA;01/11/2022;31/10/2027;jul/26
SUDESTE;UBA;UBA;CLINICA;1892022;64297260000153;SUN - SERVICOS UBAENSE DE NEFROLOGIA LTDA;01/03/2022;28/02/2027;jul/26
SUL;SAO SEBASTIAO DO PARAISO;MONTE SANTO DE MINAS;LABORATORIO;9192022;03712766000197;LABORATORIO MONTE SANTO LTDA;31/12/2022;30/11/2027;jul/26
TRIANGULO DO NORTE;MONTE CARMELO;MONTE CARMELO;LABORATORIO;8152022;07181682000125;LABORATORIO SANCHEZ EIRELI;01/11/2022;31/10/2027;jul/26
NORDESTE;JEQUITINHONHA;ITAOBIM;CLINICA;1742023;05779276000133;VALKIRIA PEREIRA DE SOUZA - FISIOCLINICA;03/03/2023;29/02/2028;jul/26
TRIANGULO DO NORTE;UBERLANDIA;UBERLANDIA;CLINICA;10252024;06103674000106;RADIOCLINICA MEDICINA DIAGNOSTICA LTDA;03/12/2024;31/05/2027;jul/26
SUL;LAVRAS;PERDOES;CLINICA;11042023;08509472000186;CEUP-CENTRO ESPECIALIZADO DE ULTRASSONOGRAFIA DE PERDOES LTDA;13/12/2023;30/11/2028;jul/26
OESTE;FORMIGA;FORMIGA;LABORATORIO;4952022;02136009000150;LABORATORIO MEDICO DE PATOLOGIA DR. WILLIAM LTDA;18/07/2022;30/06/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA ODONTOLOGICA;7302023;20472213000123;CLIDEN CLINICA DENTARIA LTDA;01/09/2023;31/08/2028;jul/26
TRIANGULO DO NORTE;ITUIUTABA;ITUIUTABA;HOSPITAL/FUNDACAO;3952025;21324116000156;HOSPITAL NOSSA SENHORA D'ABADIA LTDA;01/07/2025;30/06/2030;jul/26
SUL;PIUMHI;PIUMHI;HOSPITAL/FUNDACAO;3452025;23591126000183;SANTA CASA DE MISERICORDIA DE PIUMHI;01/06/2025;31/05/2030;jul/26
LESTE;GOVERNADOR VALADARES;GOVERNADOR VALADARES;CLINICA;6652023;08633899000191;CENTRO DE DIAGNOSTICO CARDIOVASCULAR LTDA;01/09/2023;31/08/2028;jul/26
NORDESTE;CAPELINHA;CAPELINHA;LABORATORIO;4172022;08428763000140;LABORATORIO DE ANALISES CLINICAS MARALDO PIMENTA JUNIOR LTDA;04/07/2022;30/06/2027;jul/26
LESTE;GOVERNADOR VALADARES;GOVERNADOR VALADARES;CLINICA;3622023;08414320000108;CLINICA MEDCENTER GV LTDA;05/05/2023;30/04/2028;jul/26
CENTRO;PEDRO LEOPOLDO;PEDRO LEOPOLDO;CLINICA;4762023;02766706000194;UNICARD LTDA;01/07/2023;30/06/2028;jul/26
SUDESTE;JUIZ DE FORA;SAO JOAO NEPOMUCENO;LABORATORIO;722022;01122138000126;LABORATORIO RAIMAR LTDA;01/02/2022;31/01/2027;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;LABORATORIO;9592025;08796270000162;TABOSA E GUEDES ANALISE CLINICA LTDA;01/10/2025;30/09/2030;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA ODONTOLOGICA;4512022;05457540000112;CLINICA ODONTOLOGICA ELIZABETH CABRAL LTDA;08/07/2022;30/06/2027;jul/26
TRIANGULO DO NORTE;UBERLANDIA;UBERLANDIA;HOSPITAL DIA;5272023;26155523000109;CENTRO OFTALMOLOGICO DE UBERLANDIA LTDA;01/07/2023;30/06/2028;jul/26
CENTRO;JOAO MONLEVADE;JOAO MONLEVADE;LABORATORIO;6262025;03564585000160;ANGELA PINHEIRO CHAGAS MARQUES;01/08/2025;31/07/2030;jul/26
SUL;BOA ESPERANCA;BOA ESPERANCA;LABORATORIO;7892023;00487521000115;LABORATORIO DE ANALISES CLINICAS RENATO NAVES BARBOSA LTDA;01/10/2023;30/09/2028;jul/26
NORDESTE;ARACUAI;ARACUAI;LABORATORIO;5512025;03409371000110;LABORATORIO DE ANALISES CLINICAS SANTA CLARA DO VALE LTDA;01/08/2025;31/07/2030;jul/26
CENTRO;CONTAGEM;CONTAGEM;CLINICA;782023;38727038000567;CENTRO DIAGNOSTICO ULTRASON DE MEDICINA INTERNA GINECOLOGIA E OBSTETRICIA LTDA;01/02/2023;31/01/2028;jul/26
TRIANGULO DO SUL;ARAXA;SANTA JULIANA;LABORATORIO;592023;00717865000173;LABORATORIO DE ANALISES CLINICAS BIOKLIN LTDA;01/02/2023;31/01/2028;jul/26
NORDESTE;TEOFILO OTONI;TEOFILO OTONI;LABORATORIO;3592022;25114695000163;LABORATORIO PASTEUR ANALISES CLINICAS LTDA;01/07/2022;30/06/2027;jul/26
NORTE;JANUARIA;JANUARIA;CLINICA;3912023;08111524000161;CENTRO DE DIAGNOSTICO POR IMAGEM SANTA MARIA LTDA;16/05/2023;30/04/2028;jul/26
SUL;LAVRAS;LAVRAS;HOSPITAL DIA;6172025;07931395000195;LISBOA, MURAD, METZGER & VIEIRA SERVICOS MEDICOS LTDA;01/08/2025;31/07/2030;jul/26
TRIANGULO DO NORTE;UBERLANDIA;UBERLANDIA;CLINICA ODONTOLOGICA;2402023;04705896000165;C.T.O. CENTRO DE TRATAMENTO ODONTOLOGICO LTDA;01/04/2023;31/03/2028;jul/26
NORTE;JANAUBA;JANAUBA;HOSPITAL/FUNDACAO;2272023;04548627000132;CALDEIRA, SILVEIRA E SANTOS LTDA;01/04/2023;31/03/2028;jul/26
CENTRO;GUANHAES;VIRGINOPOLIS;HOSPITAL/FUNDACAO;9962024;18392993000150;ASSOCIACAO DE PROTECAO E ASSISTENCIA A MATERNIDADE E INFAN HOSP S J VIRGINOPOLIS;14/11/2024;31/10/2029;jul/26
OESTE;PARA DE MINAS;PARA DE MINAS;HOSPITAL DIA;5312025;09205917000105;INSTITUTO DE OLHOS DE MINAS GERAIS LTDA;01/07/2025;30/06/2030;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;LABORATORIO ODONTOLOGICO;5212022;08912442000116;ENEAS EUGENIO AGUIAR;01/08/2022;31/07/2027;jul/26
NORDESTE;NANUQUE;CARLOS CHAGAS;LABORATORIO;8062023;03665621000182;LABORATORIO PREVINA LTDA;01/10/2023;30/09/2028;jul/26
SUDESTE;JUIZ DE FORA;SAO JOAO NEPOMUCENO;LABORATORIO;3452022;08226835000176;ALFALAB LABORATORIO DE ANALISES CLINICAS LTDA;21/06/2022;31/05/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;9012022;07159369000190;IOOG OFTALMOLOGIA;07/12/2022;30/11/2027;jul/26
SUDESTE;JUIZ DE FORA;JUIZ DE FORA;LABORATORIO;3152024;26143396000110;LEMOS LABORATORIO DE ANALISES CLINICAS S/S LTDA;10/04/2024;30/09/2026;jul/26
SUL;ITAJUBA;ITAJUBA;LABORATORIO;1642023;65246902000158;LUCIMAR DE SOUZA RIBEIRO SILVA E CIA LTDA;01/03/2023;29/02/2028;jul/26
TRIANGULO DO SUL;ARAXA;IBIA;LABORATORIO;7082023;26041640000133;LABORATORIO CARLOS CHAGAS LTDA;01/09/2023;31/08/2028;jul/26
SUL;POCOS DE CALDAS;POCOS DE CALDAS;CLINICA;5962025;07432121000151;ONCOGEN CENTRO DE ONCOLOGIA E GENETICA MOLECULAR LTDA;01/08/2025;31/07/2030;jul/26
OESTE;BOM DESPACHO;LUZ;LABORATORIO;9182022;02712626000156;LABORLUZ LABORATORIO DE ANALISES CLINICAS LTDA;26/12/2022;30/11/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;4502024;38692547000178;ECOCENTER MEDICINA LTDA;01/06/2024;30/11/2026;jul/26
NORTE;JANAUBA;ESPINOSA;CLINICA;7962022;09361996000135;A.M.R. SILVEIRA & CIA LTDA;01/11/2022;31/10/2027;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;LABORATORIO;3342022;21128244000124;LABORATORIO LAPECCO LTDA;01/07/2022;30/06/2027;jul/26
LESTE DO SUL;MANHUACU;MANHUACU;CLINICA;3882023;04333501000140;CLINICA MEDICA CHEQUER LTDA;01/06/2023;31/05/2028;jul/26
SUL;POUSO ALEGRE;POUSO ALEGRE;CLINICA;6242025;02929143000108;INSTITUTO SUL MINEIRO DE ONCOLOGIA LTDA;01/08/2025;31/07/2030;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;7852023;01048018000126;CARDIOLOGICA - CLINICA DE DIAGNOSTICO CARDIOVASCULAR LTDA;12/09/2023;31/08/2028;jul/26
CENTRO SUL;SAO JOAO DEL REI;SAO JOAO DEL REI;CLINICA;3412023;02060900000150;RRV - DIAGNOSTICOS POR IMAGEM LTDA;01/05/2023;30/04/2028;jul/26
LESTE;GOVERNADOR VALADARES;GOVERNADOR VALADARES;CLINICA;4152022;01058512000171;SERMO SERVICOS DE ONCOLOGIA LTDA;02/07/2022;31/08/2026;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;6212025;97392856000191;CLINICA DE OLHOS DR REINALDO SIEIRO LTDA;01/08/2025;31/07/2030;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CONSULTORIO ODONTOLOGICO;11642023;09085970000101;ODONTO FAMILIA LTDA;21/12/2023;30/11/2028;jul/26
